taxon,sex,wingl,beakh,ubeakl
Geospiza scandens,M,66,9.2,18.7
Camarhynchus pauper,M,67,8.5,14
Geospiza fuliginosa,M,59,8.1,13
Geospiza fuliginosa,M,66,8.4,13
Geospiza fortis,M,71,13.3,18
Geospiza fortis,M,70,12.3,15.8
Camarhynchus psittacula,M,70,11.1,14.2
Geospiza fortis,M,75,15.4,19.4
Geospiza fuliginosa,F,64,8,11.9
Geospiza fortis,M,72,12.6,16.2
Geospiza fuliginosa,M,61,8.1,12.9
Geospiza fortis,M,70,11.3,16.9
Geospiza fuliginosa,F,62,8,12.4
Camarhynchus parvulus,M,64,7.4,11.3
Camarhynchus pauper,M,70,8.6,13.4
Geospiza fuliginosa,M,65,8,12.4
Geospiza scandens,M,73,9.4,19.5
Geospiza fortis,F,67,10.9,15.3
Geospiza fuliginosa parvula,F,60,8.5,12.5
Geospiza fortis,M,72,11.8,15.9
Geospiza scandens,F,69,9,18
Geospiza fuliginosa,F,62,8.1,12.2
Geospiza fortis,F,70,10.8,16
Camarhynchus pauper,M,70,9.4,12.7
Geospiza fortis,F,69,11,15.2
Geospiza fuliginosa,M,61,8.3,13
Geospiza fuliginosa,M,64,8.1,12.6
Geospiza fuliginosa,F,60,7.3,12.3
Geospiza fortis,M,70,12.1,16.9
Geospiza fuliginosa,F,61,7.8,13
Camarhynchus pauper,M,69,8.9,13.8
Camarhynchus parvulus,M,64,7.6,11.2
Geospiza scandens,M,72,8.9,18.3
Geospiza fuliginosa,F,61,7.6,11.7
Geospiza fortis,F,69,12.3,15.8
Geospiza fortis,M,68,12,15.1
Geospiza fortis,M,75,13.6,18.1
Geospiza fortis,F,67,12.5,16.8
Camarhynchus parvulus,M,62,7.5,11.6
Geospiza fortis ,M,70,11,15
Geospiza fortis,F,71,11.3,15.3
Geospiza fortis,M,75,13,16.2
Geospiza scandens,M,69,8.4,18.6
Geospiza fuliginosa,M,60,8,12.5
Geospiza scandens,M,73,9.3,17.5
Camarhynchus parvulus,M,65,7.6,11.3
Geospiza fortis,F,67,11,15.4
Camarhynchus parvulus,M,62,8,12
Camarhynchus psittacula,F,68,10.5,14.2
Geospiza fortis,F,70,12.5,16.7
Geospiza fuliginosa,M,63,8,12.4
Camarhynchus pauper,M,70,8.7,13.1
Geospiza scandens,F,69,8.7,18.7
Geospiza fuliginosa,M,64,8.4,12.4
Geospiza scandens,M,73,9.7,18.8
Geospiza scandens,M,71,9.2,19.4
Geospiza fuliginosa,M,64,8.8,13
Geospiza fuliginosa,M,61,7.8,12.3
Camarhynchus pauper,F,70,8.7,13.9
Geospiza fortis,M,71,11.7,15.5
Camarhynchus pauper,M,70,8.9,14.6
Camarhynchus pauper,M,71,8.7,14.2
Camarhynchus parvulus,M,63,7.6,11.2
Camarhynchus pauper,M,70,8.6,13.3
Geospiza fortis,M,71,12.7,17.3
Geospiza scandens,M,71,9.3,18.5
Geospiza fortis,M,69,11.7,15.9
Geospiza fuliginosa,F,61,8,12.5
Geospiza fuliginosa,F,62,8,11.7
Geospiza fortis,M,71,11.8,14.9
Geospiza scandens,M,73,9.5,20
Camarhynchus pauper,F,70,8,13.3
Geospiza fortis,M,71,11.9,15.2
Geospiza fuliginosa,M,63,8.6,13.2
Geospiza scandens,M,69,9.5,19.1
Geospiza fuliginosa,M,63,8.1,11.4
Geospiza scandens,M,69,9.9,20.2
Geospiza fuliginosa,F,62,7.3,11
Geospiza fuliginosa,M,62,8.8,13.1
Camarhynchus pauper,M,69,8.3,13.1
Geospiza fortis,M,70,13.4,15.9
Camarhynchus parvulus,M,63,7.8,11.5
Geospiza fortis,M,71,12.6,17
Geospiza scandens scandens,F,71,9.5,20.5
Geospiza fortis,M,70,11.2,15.9
Camarhynchus pauper,M,72,9.9,14.5
Geospiza fortis ,M,70,12,16
Geospiza fortis,M,71,12.5,16.9
Camarhynchus parvulus,M,61,7.5,11.5
Geospiza fuliginosa,M,65,8.2,12.9
Geospiza fuliginosa,M,62,8,12.6
Geospiza fortis,M,76,16.3,18.9
Geospiza fuliginosa,F,62,8.1,11.8
Geospiza fortis,M,70,12,15.7
Geospiza fortis,M,70,10.8,14.9
Geospiza fortis,M,70,11.8,16.4
Camarhynchus parvulus,M,61,6.7,11
Camarhynchus parvulus,M,66,7.9,11.8
Geospiza scandens,M,71,9.6,19.6
Geospiza fuliginosa,F,60,8.1,12.3
Geospiza fortis,M,71,11.8,17.3
Geospiza fortis,M,75,13.8,18.4
Geospiza fuliginosa,F,59,7.4,11.1
Geospiza fortis,F,65,10.4,14.8
Geospiza fortis ,M,73.2,15,19
Camarhynchus pauper,M,68,8.5,13.2
Geospiza fuliginosa,M,64,8.2,13.4
Geospiza fortis,M,70,12.3,16.2
Geospiza fortis,M,70,11.8,17.1
Camarhynchus parvulus,M,60,7.8,10.8
Geospiza fortis,F,68,11,14.9
Geospiza scandens,M,72,10.1,19.2
Geospiza fortis,M,76,13.7,17.8
Geospiza fortis ,M,70.5,11,15.5
Geospiza fortis,M,72,12.3,15.4
Geospiza fortis,M,71,13.9,17
Camarhynchus pauper,M,69,8.2,13
Geospiza scandens,F,67,8.2,18
Geospiza scandens,F,67,8.8,18.1
Geospiza fortis,F,72,12.1,17
Geospiza fortis,F,67,11.1,14.2
Geospiza scandens,M,70,9.7,18.7
Geospiza fuliginosa,F,63,7.7,12.5
Geospiza fuliginosa,M,64,8.1,13.4
Geospiza fortis,M,68,10.2,14.9
Camarhynchus pauper,M,68,9,14.2
Camarhynchus parvulus,F,62,6.8,11
Geospiza fortis,F,68,11.7,15.8
Geospiza scandens,F,67,9.1,19.1
Camarhynchus pauper,M,70,8.7,13.1
